词目,tw,ch,en
准则,刑案的舉證準則,刑案的举证准则,criminal standard of proof
,判刑準則,判刑准则,tariff
,較低舉證準則,较低举证准则,lower standard of proof
,較高舉證準則,较高举证准则,higher standard of proof
,舉證的準則,举证的准则,standard of proof
准备,作出準備……的作為,作出准备……的作为,doing an act preparatory to ...
照准,申請照准,申请照准,order in terms
当事人,當事人,当事人,principal
当前,當前爭議問題,当前争议问题,live issue
当面,當面認人,当面认人,confrontation
当庭,當庭宣判的裁決,当庭宣判的裁决,extempore judgment
当然,上訴屬當然權利,上诉属当然权利,appeal as of right
当权,當權者,当权者,person in authority
禁制,禁制,禁制,debar
禁锢,串謀非法禁錮,串谋非法禁锢,conspiracy to commit false imprisonment
,串謀將人強行帶走或禁錮而意圖取得贖金,串谋将人强行带走或禁锢而意图取得赎金,conspiracy to forcibly take away or detain a person with intent to procure a ransom
,串謀強行禁錮,串谋强行禁锢,conspiracy to commit forcible detention
经营,經營不道德場所,经营不道德场所,keeping a disorderly house
绑架,串謀綁架,串谋绑架,conspiracy to kidnap
罪,罪加一等,罪加一等,aggravation of crime
,嚴重入屋犯法罪,严重入屋犯法罪,aggravated burglary
罪犯,罪犯自新,罪犯自新,rehabilitation of offenders
,歸還罪犯安排,归还罪犯安排,rendition arrangement
罪名,多條罪名的公訴書,多条罪名的公诉书,multi-count indictment
,裁定罪名不成立,裁定罪名不成立,acquittal
,罪名,罪名,count
罪行,干犯罪行的可能性,干犯罪行的可能性,probability to commit crime
,不同的罪行,不同的罪行,discrete offence
,可公訴罪行,可公诉罪行,indictable offence
,犯下多項罪行,犯下多项罪行,multiplicity of offences
,企圖罪行,企图罪行,attempted offence
,多項罪行的控罪,多项罪行的控罪,duplicity of charge
,有組織罪行,有组织罪行,organized crime
,有預謀的罪行,有预谋的罪行,premeditated offence
,完整罪行,完整罪行,full offence
,技術上干犯罪行,技术上干犯罪行,technical offence
,例外罪行,例外罪行,excepted offence
,所犯罪行惹起公憤,所犯罪行惹起公愤,public abhorrence of the crime committed
,明確……罪行,明确……罪行,specific offence
,法定罪行,法定罪行,statutory offence
,持續罪行,持续罪行,continuing offence
,個別及不同的罪行,个别及不同的罪行,separate and distinct offence
,控罪不得包含多項罪行的原則,控罪不得包含多项罪行的原则,rule against duplicity
,單一項罪行,单一项罪行,single offence
,絕對刑責的罪行,绝对刑责的罪行,absolute offence
,集團式罪行,集团式罪行,syndicated offence
,新訂罪行不具追溯力的原則,新订罪行不具追溯力的原则,rule against retrospective incrimination
,罪行……的嚴重程度,罪行……的严重程度,gravity of the offence
,罪行的……元素,罪行的……元素,element of the offence
,罪行的……嚴重性,罪行的……严重性,gravity of the offence
,罪行的相對嚴重性,罪行的相对严重性,comparative gravity of offence
,罪行的陳述,罪行的陈述,statement of offence
,罪行的普遍程度,罪行的普遍程度,prevalence of ... offence
,罪行重點,罪行重点,gravamen of the offence
,罪行與判刑必須相稱的法則,罪行与判刑必须相称的法则,the principle ... proportionality between offence and sentence
,罪行詳情,罪行详情,particulars of offence
,較輕微罪行的裁決,较轻微罪行的裁决,lesser verdict
,違反誠信的罪行,违反诚信的罪行,offence arising from a breach of trust
,構成罪行的不當行為,构成罪行的不当行为,culpable misconduct
,整體罪行,整体罪行,overall criminality
,整體罪行刑期,整体罪行刑期,totality of sentence
,整體罪行刑責,整体罪行刑责,total criminality of offence
,整體罪行嚴重性,整体罪行严重性,total criminality of offence
,簡易程序罪行,简易程序罪行,summary offence
,簡易罪行,简易罪行,summary offence
,嚴格法律責任罪行,严格法律责任罪行,offence of strict liability
罪案,罪案重演的錄像證據,罪案重演的录像证据,video reconstruction evidence
罪责,可使罪責減輕的……的情況,可使罪责减轻的……的情况,extenuating circumstances
,刑事罪責,刑事罪责,criminal culpability
,刑事罪責程度,刑事罪责程度,degree of criminal culpability
,承認罪責,承认罪责,inculpatory admission
,涉嫌罪責的證據,涉嫌罪责的证据,inculpatory evidence
,牽連罪責的招認,牵连罪责的招认,incriminating admission
,牽連罪責的證據,牵连罪责的证据,inculpatory evidence
,牽連罪責部分,牵连罪责部分,incriminating part
,開脫罪責的供詞,开脱罪责的供词,exculpatory statement
,開脫罪責部分,开脱罪责部分,exculpatory part
,罪責,罪责,culpability
,雙重罪責原則,双重罪责原则,double criminality principle
罪证,罪證,罪证,evidence of guilt
落实,落實串謀,落实串谋,in furtherance of the conspiracy
解决,分歧的解決方法,分歧的解决方法,resolution of differences
解释,不合情理的解釋,不合情理的解释,implausible account
,司法解釋,司法解释,judicial interpretation
,清白解釋,清白解释,innocent explanation
,無辜解釋,无辜解释,innocent explanation
,寬鬆的解釋,宽松的解释,liberal interpretation
,辯解或解釋,辩解或解释,excuse or explanation
详情,罪行詳情,罪行详情,particulars of offence
试探,無基礎的試探性問題,无基础的试探性问题,fishing expedition
诚信,令誠信成疑,令诚信成疑,discredited
,令誠信受質疑,令诚信受质疑,discredited
,令誠信盡失,令诚信尽失,discredited
,破壞誠信,破坏诚信,breach of trust
,破壞誠信的行為,破坏诚信的行为,act in breach of trust
,違反誠信的罪行,违反诚信的罪行,offence arising from a breach of trust
,違反誠信的行為,违反诚信的行为,act in breach of trust
诚实,一般合理及誠實人的客觀標準,一般合理及诚实人的客观标准,the ordinary objective standards of reasonable and honest people
,誠實可靠的證人,诚实可靠的证人,truthful and reliable witness
,誠實地相信,诚实地相信,belief ... honestly held
,誠實地相信,诚实地相信,honest belief
,誠實的證人,诚实的证人,honest witness
诠释,具補救作用的詮釋,具补救作用的诠释,remedial construction
,法規的詮釋,法规的诠释,construction of statutes
,補救性的詮釋,补救性的诠释,remedial construction
资料,不用的資料,不用的资料,unused material
,文件及資料的披露,文件及资料的披露,discovery
,品格證明的參考資料,品格证明的参考资料,character reference
,造成偏見的資料,造成偏见的资料,prejudicial material
资格,兒童證人的作證資格,儿童证人的作证资格,competency of a child witness
,取消駕駛資格令,取消驾驶资格令,disqualification order
,被取消駕駛資格,被取消驾驶资格,disqualification
,參與……的資格,参与……的资格,locus standi
,駕駛資格取消期間,驾驶资格取消期间,disqualification period
较低,較低舉證準則,较低举证准则,lower standard of proof
较高,較高舉證準則,较高举证准则,higher standard of proof
较轻,較輕的判刑選擇,较轻的判刑选择,softer option
道路,在道路上作出狂暴行為,在道路上作出狂暴行为,road rage
道德,公眾衞生或道德,公众卫生或道德,public health or morals
,串謀敗壞公眾道德,串谋败坏公众道德,conspiracy to corrupt public morals
违反,公然違反,公然违反,flagrant breach
,技術上違反法律,技术上违反法律,technical breach of the law
,違反保釋條件,违反保释条件,breach of bail condition
,違反逗留條件,违反逗留条件,breach of condition of stay
,違反誠信的罪行,违反诚信的罪行,offence arising from a breach of trust
,違反誠信的行為,违反诚信的行为,act in breach of trust
,違反遞解離境令,违反递解离境令,breach of deportation order
,嚴重違反,严重违反,gross breach
违规,技術違規,技术违规,technical breach
违禁,違禁行為,违禁行为,prohibited acts
违宪,違憲,违宪,unconstitutional
过份,給予過份比重,给予过份比重,attach too much weight
过重,明顯過重,明显过重,manifestly excessive
过高,過高利率,过高利率,excessive interest rates
过堂,過堂,过堂,mention
,過堂聆訊,过堂聆讯,call over
过渡,過渡性的條文,过渡性的条文,transitional provision
过程,司法過程,司法过程,in the course of justice
,量刑過程,量刑过程,sentencing process
逾期,逾期上訴,逾期上诉,appeal out of time
,逾期逗留,逾期逗留,overstaying
逾越,逾越其份,逾越其份,enter the arena
电脑,有犯罪或不誠實意圖而取用電腦,有犯罪或不诚实意图而取用电脑,access to computer with criminal or dishonest intent
颁令,頒令付款,颁令付款,order for payment of money
鼓动,鼓動,鼓动,instigate
划线,劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis added
,劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis supplied
,劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis added
,劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis supplied
境外,境外司法管轄權,境外司法管辖权,extra-territorial jurisdiction
伙同,夥同犯案,伙同犯案,joint enterprise
实行,將串謀[計劃]付諸實行,将串谋[计划]付诸实行,in furtherance of the conspiracy
实务,實務指示,实务指示,practice direction
实际,實際使用暴力,实际使用暴力,actual violence
,實際風險,实际风险,real risk
,實際意圖,实际意图,actual intention
,實際獲益,实际获益,actual gain
实质,實質命令,实质命令,substantive order
,實質控制,实质控制,physical control
实践,公義必須實踐，並且彰顯人前,公义必须实践，并且彰显人前,"justice must not only be done, but manifestly be seen to be done"
对讼,對訟式刑事司法體系,对讼式刑事司法体系,adversarial system of criminal justice
,對訟式審訊,对讼式审讯,adversarial trial
对辩,對辯式訴訟的司法制度,对辩式诉讼的司法制度,adversarial system of justice
,對辯式審訊,对辩式审讯,adversarial trial
屡犯,屢犯者,屡犯者,recidivist
,屢犯者,屡犯者,repeat offender
彰显,公義必須實踐，並且彰顯人前,公义必须实践，并且彰显人前,"justice must not only be done, but manifestly be seen to be done"
,執行公義必須彰顯於人前,执行公义必须彰显于人前,justice is done and is seen to be done
态度,態度,态度,demeanour
惯犯,慣犯,惯犯,persistent offender
,慣犯,惯犯,recidivist
惯例,判刑慣例,判刑惯例,sentencing practice
,關於法院慣例的規則,关于法院惯例的规则,rule of practice
惯常,偏離慣常減刑,偏离惯常减刑,departure from customary discount
,慣常判刑,惯常判刑,customary sentence
,慣常的判刑幅度,惯常的判刑幅度,customary range of sentence
,慣常的減刑,惯常的减刑,customary discount
,慣常減刑幅度,惯常减刑幅度,usual discount
摘要,案情摘要,案情摘要,brief facts
摧毁,摧毀或損壞財產,摧毁或损坏财产,destroy or damage property
构成,構成表面證據,构成表面证据,establish a prima facie case
,構成罪行的不當行為,构成罪行的不当行为,culpable misconduct
构定,法律構定的知情,法律构定的知情,constructive knowledge
,法律構定的管有,法律构定的管有,constructive possession
,法律構定信託,法律构定信讬,constructive trust
漏洞,法律漏洞,法律漏洞,lacuna
漠视,漠視法紀,漠视法纪,disregard of law and order
煽惑,煽惑,煽惑,incitement
琐事,“法律不問瑣事”的原則,“法律不问琐事”的原则,de minimis principle
琐屑无聊,瑣屑無聊或無理纏擾,琐屑无聊或无理缠扰,frivolous or vexatious
疑犯,和疑犯一起供辨認的人,和疑犯一起供辨认的人,actor in identification parade
,查問疑犯及錄取口供的規則及指示,查问疑犯及录取口供的规则及指示,Rules and Directions for the Questioning of Suspects and the Taking of Statements
疑点,疑點的利益,疑点的利益,benefit of ... doubt
,潛在疑點,潜在疑点,lurking doubt
,證明案件無合理疑點,证明案件无合理疑点,prove a case beyond reasonable doubt
尽力,一般審慎及盡力的人,一般审慎及尽力的人,ordinarily prudent and diligent man
监督权,保留剩餘監督權,保留剩余监督权,retaining residual supervision
监禁,分期執行的監禁刑期,分期执行的监禁刑期,consecutive sentences of imprisonment
,判處即時監禁,判处即时监禁,immediate custodial sentence
,即時及長期監禁,即时及长期监禁,immediate and long-term prison sentence
,即時監禁刑罰,即时监禁刑罚,immediate custodial sentence
,酌情性終身監禁刑罰,酌情性终身监禁刑罚,discretionary life sentence
,強制性終身監禁刑罰,强制性终身监禁刑罚,mandatory life sentence
,短期監禁,短期监禁,short-term prison sentence
,監禁,监禁,incarceration
,監禁刑罰,监禁刑罚,custodial sentence
,監禁管敎場所,监禁管教场所,penal institution
监察,監察名單,监察名单,watch list
监管,監管令,监管令,supervision order
管有,不知情管有,不知情管有,innocent possession
,共同管有,共同管有,joint possession
,共同管有或各別管有,共同管有或各别管有,possessed jointly ... or severally
,有關管有和知悉的推定,有关管有和知悉的推定,presumption relating to possession and knowledge
,於案發後不久被發現管有贓物的法律原則,于案发后不久被发现管有赃物的法律原则,doctrine of recent possession
,法律構定的管有,法律构定的管有,constructive possession
,近期管有,近期管有,recent possession
,純粹管有,纯粹管有,simple possession
,推定管有,推定管有,constructive possession
,單獨管有或共同管有,单独管有或共同管有,exclusive possession or joint possession
,無犯罪意圖的管有,无犯罪意图的管有,innocent possession
,新近管有原則,新近管有原则,doctrine of recent possession
,管有及知悉……的推定,管有及知悉……的推定,presumption of possession and knowledge of ...
,管有炸藥,管有炸药,possession of explosive
,管有爆炸品,管有爆炸品,possession of explosive substance
管教,監禁管敎場所,监禁管教场所,penal institution
管辖,獨立無私之法定管轄法庭,独立无私之法定管辖法庭,"competent, independent and impartial tribunal"
管辖权,領域外管轄權,领域外管辖权,extra-territorial jurisdiction
精神,犯罪的精神上行為能力,犯罪的精神上行为能力,mental capacity to commit offence
,精神上無能力,精神上无能力,disability of mind
,精神失常的狀態,精神失常的状态,disordered state of mind
,精神狀況,精神状况,mental condition
,精神狀態,精神状态,mental state
,精神科醫生報告,精神科医生报告,psychiatric report
,精神紊亂的人,精神紊乱的人,mentally disordered person
,精神報告,精神报告,psychiatric report
精神病,精神病,精神病,disease of the mind
,精神病,精神病,mental illness
精密,非經精密策劃,非经精密策划,lack of sophistication
纲要,書面回應綱要,书面回应纲要,written skeleton reply
纲领,陳詞綱領,陈词纲领,skeleton submission
维护,維護個人利益的供詞,维护个人利益的供词,self-serving statement
罚款,罰款級數,罚款级数,level of fines
舞弊,舞弊意圖,舞弊意图,corrupt intent
蓄意,故意及蓄意,故意及蓄意,wilful and intentional
,蓄意編造的謊言,蓄意编造的谎言,deliberate lie
蒙受,不誠實地意圖導致他人蒙受損失,不诚实地意图导致他人蒙受损失,dishonest intent to cause loss to another
复杂,事實情節複雜,事实情节复杂,factual complexity
说服力,具說服力的判例,具说服力的判例,persuasive authority
,具說服力的證據,具说服力的证据,compelling evidence
诬陷,誣陷,诬陷,frame up
认人,小組認人,小组认人,group identification
,列隊認人手續,列队认人手续,identification parades
,當面認人,当面认人,confrontation
,認人證據,认人证据,identification evidence
认出,不能認出被告人,不能认出被告人,negative identification
,不能認出嫌疑人,不能认出嫌疑人,negative identification
,明確認出,明确认出,positive identification
,認出……的證據,认出……的证据,recognition evidence
认同,案例不獲認同,案例不获认同,case disapproved
认知,主觀的認知,主观的认知,subjective knowledge
,司法認知,司法认知,judicial knowledge
,客觀的認知,客观的认知,objective knowledge
认罪,及早認罪,及早认罪,early plea
,及時認罪,及时认罪,timely plea
,因認罪而減刑,因认罪而减刑,discount for guilty plea
,含糊不清的認罪,含糊不清的认罪,equivocal plea
,改為認罪,改为认罪,reversal of plea
,明確的認罪,明确的认罪,unequivocal guilty plea
,非自願認罪,非自愿认罪,involuntary plea
,後期認罪,后期认罪,late plea
,推翻認罪,推翻认罪,reverse guilty plea
,推翻認罪的申請,推翻认罪的申请,application for reversing the guilty plea
,登錄不認罪的答辯,登录不认罪的答辩,plea of not guilty to be entered
,認罪,认罪,guilty plea
,認罪的答辯,认罪的答辩,plea of guilty
,認罪答辯,认罪答辩,guilty plea
,模稜兩可及意義不明的認罪,模棱两可及意义不明的认罪,equivocal plea
误解,誤解,误解,misapprehension
诱导,誘導性問題,诱导性问题,leading question
辅助,輔助性或脗合性的證供,辅助性或脗合性的证供,supporting or corroborative evidence
,輔助證據,辅助证据,supporting evidence
轻判,輕判選擇,轻判选择,soft option
轻微,較輕微的交替控罪,较轻微的交替控罪,lesser alternative
,較輕微罪行的裁決,较轻微罪行的裁决,lesser verdict
递解,違反遞解離境令,违反递解离境令,breach of deportation order
需要,極有需要的情況,极有需要的情况,compelling circumstances
领域,領域外管轄權,领域外管辖权,extra-territorial jurisdiction
驳回,駁回……上訴,驳回……上诉,dismiss an appeal
,駁回控罪,驳回控罪,dismiss the charge
价值,具高度證案價值的證據,具高度证案价值的证据,highly probative evidence
,無證案價值,无证案价值,non-probative
,證案價值,证案价值,probative value
宽大,執行公義，不忘寬大,执行公义，不忘宽大,temper justice with mercy
,寬大的判刑,宽大的判刑,lenient sentence
宽免,寬免……法律責任,宽免……法律责任,exonerate ... from liability
宽减,三分一刑期寬減,三分一刑期宽减,discount of 1/3
宽松,寬鬆的解釋,宽松的解释,liberal interpretation
审判,公正審判的權利,公正审判的权利,right to a fair trial
,交付審判令,交付审判令,committal order
,書面交付審判,书面交付审判,paper committal
审判权,專有審判權,专有审判权,exclusive jurisdiction
审讯,中斷的審訊,中断的审讯,aborted trial
,以非公開形式進行審訊,以非公开形式进行审讯,trial in camera
,申請編定審訊日期,申请编定审讯日期,application to fix a date for trial
,交付審訊,交付审讯,committed for trial
,全面和公平的審訊,全面和公平的审讯,full and fair trial
,爭訟審訊,争讼审讯,contested trial
,爭辯審訊,争辩审讯,contested trial
,循簡易程序審訊藐視法庭案,循简易程序审讯藐视法庭案,summary contempt proceedings
,對訟式審訊,对讼式审讯,adversarial trial
,對辯式審訊,对辩式审讯,adversarial trial
,審訊的法庭,审讯的法庭,court of trial
,審訊時的主要爭論點,审讯时的主要争论点,central issue at trial
审理,可由……審理,可由……审理,justiciable
,審理上訴的中級法院,审理上诉的中级法院,intermediate appellate court
,審理上訴的法官,审理上诉的法官,appellate judge
审裁,事實審裁者,事实审裁者,tribunal of fact
审慎,一般的審慎旁觀者,一般的审慎旁观者,ordinary prudent bystander
,一般審慎及盡力的人,一般审慎及尽力的人,ordinarily prudent and diligent man
,司機的謹慎和審慎程度,司机的谨慎和审慎程度,care and prudence of driver
,合理審慎者的標準,合理审慎者的标准,the standard of the reasonable prudent man
履行,履行責任令,履行责任令,order of mandamus
广泛,具有重大而廣泛的重要性的法律論點,具有重大而广泛的重要性的法律论点,point of law of great and general importance
影响,造成偏見的影響,造成偏见的影响,prejudicial effect
怂使,慫使和促致謀殺,怂使和促致谋杀,counselling and procuring murder
,慫使或促致,怂使或促致,counsel or procure
撤回,撤回問題,撤回问题,withdraw the question
,撤回控罪,撤回控罪,withdraw the charge
撤销,移審撤銷令,移审撤销令,order of certiorari
,撤銷由律師代表,撤销由律师代表,dismissal of counsel
,撤銷保釋命令,撤销保释命令,revoke order for bail
,撤銷控罪,撤销控罪,dismiss the charge
撮要,案情撮要,案情撮要,summary of facts
,證據撮要,证据撮要,summary of evidence
敌对,敵對證人,敌对证人,hostile witness
暂行,暫行聆訊,暂行聆讯,heard de bene esse
暂准,暫准訟費命令,暂准讼费命令,costs order nisi
暂时,暫時吊銷牌照期,暂时吊销牌照期,period of suspension
暂缓,暫緩執行刑罰令,暂缓执行刑罚令,order of suspended sentence
暴力,實際使用暴力,实际使用暴力,actual violence
标准,一般合理及誠實人的客觀標準,一般合理及诚实人的客观标准,the ordinary objective standards of reasonable and honest people
,主觀的檢驗標準,主观的检验标准,subjective test
,司法人員培訓委員會標準指引,司法人员培训委员会标准指引,standard Judicial Studies Board direction
,合理的人的標準,合理的人的标准,reasonable man standard
,合理審慎者的標準,合理审慎者的标准,the standard of the reasonable prudent man
,合理標準驗證,合理标准验证,reasonableness test
,判斷是否知情的客觀標準,判断是否知情的客观标准,objective test of knowledge
,是否相關的標準,是否相关的标准,test of relevance
,評定是否知情的標準,评定是否知情的标准,test of knowledge
,標準的指引,标准的指引,standard direction
模棱两可,模稜兩可及意義不明的認罪,模棱两可及意义不明的认罪,equivocal plea
模范,模範品格,模范品格,exemplary character
潜在,潛在危機,潜在危机,latent risk
,潛在危險,潜在危险,latent risk
,潛在風險的因素,潜在风险的因素,latent risk factor
,潛在疑點,潜在疑点,lurking doubt
潜逃,保釋期間潛逃,保释期间潜逃,abscond while on bail
,棄保潛逃,弃保潜逃,abscond from bail
,潛逃,潜逃,flight
盘问,盤問,盘问,cross-examine
确立,已確立的判刑政策,已确立的判刑政策,settled sentencing policy
,已確立的法律,已确立的法律,settled law
,已確立的量刑政策,已确立的量刑政策,settled sentencing policy
,確立表面的案,确立表面的案,establish a prima facie case
确当,確當因由,确当因由,just cause
,確當辯解,确当辩解,just excuse
确认,案例獲得確認,案例获得确认,case affirmed
确凿,證據確鑿,证据确凿,overwhelming evidence
范本,指引範本,指引范本,specimen direction
,控罪範本,控罪范本,specimen charge
范围,判刑範圍,判刑范围,sentencing range
,量刑範圍,量刑范围,sentencing range
,適用範圍,适用范围,parameter
编定,申請編定審訊日期,申请编定审讯日期,application to fix a date for trial
编造,蓄意編造的謊言,蓄意编造的谎言,deliberate lie
缄默,保持緘默的權利,保持缄默的权利,right to remain silent
,緘默權,缄默权,right to silence
线人,特級線人,特级线人,supergrass
缓刑,執行緩刑,执行缓刑,activate a suspended sentence
,執行緩刑令,执行缓刑令,order to activate a suspended sentence
,緩刑,缓刑,suspended sentence
,緩刑令,缓刑令,order of suspended sentence
缓刑令,執行緩刑令,执行缓刑令,order to activate a suspended sentence
,緩刑令,缓刑令,order of suspended sentence
冲突,證據上的……衝突,证据上的……冲突,conflict of evidence
请求,請求書,请求书,letter of request
请求书,請求書,请求书,letter of request
论据,明顯欠缺論據的陳詞,明显欠缺论据的陈词,patently unarguable submission
,法律論據,法律论据,legal basis
,辯方論據,辩方论据,defence case
论点,具有重大而廣泛的重要性的法律論點,具有重大而广泛的重要性的法律论点,point of law of great and general importance
,法律論點,法律论点,legal argument
,法律論點,法律论点,point of law
,論點大綱,论点大纲,skeleton arguments
,獲法院給予證明的法律論點,获法院给予证明的法律论点,certified point of law
赌注,收受賭注者,收受赌注者,bookmaker
赌博,串謀在賭博時作弊,串谋在赌博时作弊,conspiracy to cheat at gambling
卖淫,導致賣淫,导致卖淫,causing prostitution
质疑,令誠信受質疑,令诚信受质疑,discredited
,無可質疑的,无可质疑的,unimpeachable
,質疑,质疑,impeach
,質疑供詞的採納性的權利,质疑供词的采纳性的权利,right to challenge admissibility
适用,適用範圍,适用范围,parameter
适当,可具有採取適當行動的權力的人,可具有采取适当行动的权力的人,person who may have power to take appropriate action
,有權採取適當行動的人,有权采取适当行动的人,person who may have power to take appropriate action
,阻止屍體被合法及適當地埋葬,阻止尸体被合法及适当地埋葬,prevention of the lawful and decent burial of a corpse
,適當的刑期基準,适当的刑期基准,appropriate starting point
,適當的法律程序,适当的法律程序,due process of law
,適當的量刑起點,适当的量刑起点,appropriate starting point
震惊,短暫、嚴峻、震驚的刑罰,短暂、严峻、震惊的刑罚,"short, sharp, shock treatment"
驾驶,合格而謹慎的駕駛人,合格而谨慎的驾驶人,competent and careful driver
,取消駕駛資格令,取消驾驶资格令,disqualification order
,被取消駕駛資格,被取消驾驶资格,disqualification
,駕駛資格取消期間,驾驶资格取消期间,disqualification period
导致,不誠實地意圖導致他人蒙受損失,不诚实地意图导致他人蒙受损失,dishonest intent to cause loss to another
,會導致入罪的證據,会导致入罪的证据,incriminating evidence
,導致入罪部分,导致入罪部分,incriminating part
,導致自己……入罪,导致自己……入罪,incrimination of self
,導致賣淫,导致卖淫,causing prostitution
宪法,行使示威的憲法權利,行使示威的宪法权利,exercise of constitutional right to demonstrate
战团,法官加入戰團,法官加入战团,judge entering the arena
拥有,以聲稱擁有權利作為辯護,以声称拥有权利作为辩护,defence of claim of right
据法权产,據法權產,据法权产,choses in actions
,據法權產,据法权产,things in action
担保,人事擔保,人事担保,surety
,自簽擔保,自签担保,enter into ... recognizance
,自簽擔保……以保證遵守法紀,自签担保……以保证遵守法纪,bind over to keep the peace ... his own recognizances
,擔保,担保,recognizance
,擔保……沒收,担保……没收,recognizances ... estreated
,擔保人,担保人,surety
担保人,擔保人,担保人,surety
整个,整個,整个,in toto
整体,整體犯罪行為,整体犯罪行为,overall criminality
,整體刑期,整体刑期,overall length of sentence
,整體刑期,整体刑期,overall sentence
,整體刑期,整体刑期,totality of sentence
,整體刑期的原則,整体刑期的原则,principle of totality
,整體刑期的原則,整体刑期的原则,the totality principle
,整體刑罰的原則,整体刑罚的原则,the totality principle
,整體地考慮刑期,整体地考虑刑期,global view of sentence
,整體或總刑期,整体或总刑期,overall or global totality
,整體量刑原則,整体量刑原则,the totality principle
,整體量刑起點,整体量刑起点,global starting point
,整體罪行,整体罪行,overall criminality
,整體罪行刑期,整体罪行刑期,totality of sentence
,整體罪行刑責,整体罪行刑责,total criminality of offence
,整體罪行嚴重性,整体罪行严重性,total criminality of offence
机会,成功機會,成功机会,merits
,有合理的定罪機會,有合理的定罪机会,reasonable prospect of a conviction
,沒有好的成功機會的上訴案件,没有好的成功机会的上诉案件,unmeritorious appeal
,機會主義的爆竊者,机会主义的爆窃者,opportunistic burglar
机构,在官方機構看管下,在官方机构看管下,in official custody
机关,行政機關給予赦免,行政机关给予赦免,executive clemency
激怒,激怒,激怒,provocation
独立,獨立而公正的證人,独立而公正的证人,independent and impartial witness
,獨立無私之法定管轄法庭,独立无私之法定管辖法庭,"competent, independent and impartial tribunal"
积犯,積犯,积犯,persistent offender
,積犯,积犯,recidivist
举止,言行舉止,言行举止,demeanour
举出,不針對……舉出證據,不针对……举出证据,offer no evidence against ...
举报人,舉報人,举报人,informer
举证,反向的舉證責任,反向的举证责任,reverse burden
,刑案的舉證準則,刑案的举证准则,criminal standard of proof
,倒轉舉證責任,倒转举证责任,reversing onus of proof
,倒轉舉證責任的條文,倒转举证责任的条文,reverse-onus provision
,較低舉證準則,较低举证准则,lower standard of proof
,較高舉證準則,较高举证准则,higher standard of proof
,舉證的準則,举证的准则,standard of proof
,舉證責任……轉移至,举证责任……转移至,burden of proof ... shifted
,舉證責任在於控方,举证责任在于控方,burden on prosecution
,選擇不舉證,选择不举证,elects not to adduce evidence
,證據舉證責任,证据举证责任,evidential onus
卫生,公眾衞生或道德,公众卫生或道德,public health or morals
亲口,親口所述的未經證實之言,亲口所述的未经证实之言,ipse dixit
亲自,無律師代表[親自應訊],无律师代表[亲自应讯],in person
谋杀,慫使和促致謀殺,怂使和促致谋杀,counselling and procuring murder
辨认,以目辨認,以目辨认,visual identification
,和疑犯一起供辨認的人,和疑犯一起供辨认的人,actor in identification parade
,庭上辨認,庭上辨认,court identification
,庭上辨認,庭上辨认,dock identification
,庭上辨認犯人欄內的被告,庭上辨认犯人栏内的被告,dock identification
,辨認在犯人欄內的被告,辨认在犯人栏内的被告,dock identification
,辨認的正確性,辨认的正确性,correctness of identification
,辨認聲音,辨认声音,voice identification
,錯誤的辨認,错误的辨认,mistaken identification
遵守,自簽擔保……以保證遵守法紀,自签担保……以保证遵守法纪,bind over to keep the peace ... his own recognizances
遵循,案例須予遵循,案例须予遵循,case followed
遵照,遵照先例原則,遵照先例原则,stare decisis
选择,可行的判刑選擇,可行的判刑选择,viable sentencing option
,有效的判刑選擇,有效的判刑选择,valid sentencing option
,判刑選擇,判刑选择,sentencing option
,量刑選擇,量刑选择,sentencing option
,較輕的判刑選擇,较轻的判刑选择,softer option
,輕判選擇,轻判选择,soft option
,選擇不援引證據,选择不援引证据,elects not to adduce evidence
,選擇不舉證,选择不举证,elects not to adduce evidence
错误,具關鍵性的錯誤指引,具关键性的错误指引,material misdirection
,原則上錯誤,原则上错误,wrong in principle
,基於錯誤理解而提出的反對,基于错误理解而提出的反对,objection misconceived
,錯誤引用法律,错误引用法律,misapplication of law
,錯誤的辨認,错误的辨认,mistaken identification
,錯誤指引,错误指引,misdirection
,錯誤相信,错误相信,mistaken belief
,嚴重程序錯誤,严重程序错误,grave procedural error
录取,查問疑犯及錄取口供的規則及指示,查问疑犯及录取口供的规则及指示,Rules and Directions for the Questioning of Suspects and the Taking of Statements
录像,罪案重演的錄像證據,罪案重演的录像证据,video reconstruction evidence
录影,錄影紀錄證據,录影纪录证据,video recorded evidence
,錄影會面,录影会面,video recorded interview
默示,明示或默示協議,明示或默示协议,expressly or tacitly agreed
默许,知情的默許,知情的默许,informed acquiescence
默然,明示或默然同意,明示或默然同意,expressly or tacitly agreed
压迫,壓迫,压迫,oppression
,壓迫性的問題,压迫性的问题,oppressive question
弥偿,按彌償基準計算的訟費,按弥偿基准计算的讼费,costs on an indemnity basis
应保,應保,应保,answering to bail
应讯,無律師代表[親自應訊],无律师代表[亲自应讯],in person
戏子,“戲子”,“戏子”,actor in identification parade
拟,擬檢控通知書,拟检控通知书,notice of intention to prosecute
