词目,tw,ch,en
,知悉犯罪的證明,知悉犯罪的证明,proof of guilty knowledge
,借機犯罪,借机犯罪,opportunistic offence
,特定犯罪意圖,特定犯罪意图,specific intent
,就被告辯稱不在犯罪現場所作的指引,就被告辩称不在犯罪现场所作的指引,alibi direction
,無犯罪意圖,无犯罪意图,innocent belief
,無犯罪意圖的管有,无犯罪意图的管有,innocent possession
,無能力犯罪,无能力犯罪,doli incapax
,集團式犯罪活動,集团式犯罪活动,syndicated criminal activity
,整體犯罪行為,整体犯罪行为,overall criminality
犯罪者,犯罪者,犯罪者,perpetrator
,唯一犯罪者,唯一犯罪者,sole perpetrator
,單一犯罪者,单一犯罪者,sole perpetrator
犯错,原則上犯錯,原则上犯错,err in principle
生命,危害生命,危害生命,endanger life
用意,為所有用意及目的,为所有用意及目的,for all intents and purposes
申述,虛假地作出申述,虚假地作出申述,falsely representing
申诉,申訴人,申诉人,complainant
申诉人,申訴人,申诉人,complainant
申请,上訴許可申請,上诉许可申请,application for leave to appeal
,正式的申請,正式的申请,substantive application
,申請人,申请人,applicant
,申請司法覆核的許可,申请司法复核的许可,application for leave to apply for judicial review
,申請保釋等候上訴,申请保释等候上诉,application for bail pending appeal
,申請查閱對方準備呈堂的文件及證物表,申请查阅对方准备呈堂的文件及证物表,discovery
,申請剔除上訴通知書,申请剔除上诉通知书,application to strike out notice of appeal
,申請照准,申请照准,order in terms
,申請編定審訊日期,申请编定审讯日期,application to fix a date for trial
,申請覆核刑罰,申请复核刑罚,application ... for review of sentence
,有理據的申請,有理据的申请,meritorious application
,推翻認罪的申請,推翻认罪的申请,application for reversing the guilty plea
,單方面申請,单方面申请,ex parte application
申请人,申請人,申请人,applicant
目的,為所有用意及目的,为所有用意及目的,for all intents and purposes
,貫徹立法的目的,贯彻立法的目的,promote the objects of the statute
矛盾,互相矛盾的事實陳述,互相矛盾的事实陈述,contradictory statements of fact
,互相矛盾的裁決,互相矛盾的裁决,inconsistent verdicts
,矛盾證供,矛盾证供,conflicting evidence
,證據矛盾,证据矛盾,conflict of evidence
,證據前後矛盾,证据前后矛盾,contradiction in evidence
示威,行使示威的憲法權利,行使示威的宪法权利,exercise of constitutional right to demonstrate
立法,貫徹立法的目的,贯彻立法的目的,promote the objects of the statute
交付,交付偽製流通紙幣,交付伪制流通纸币,deliver counterfeit currency notes
,交付審判令,交付审判令,committal order
,交付審訊,交付审讯,committed for trial
,書面交付審判,书面交付审判,paper committal
交出,交出令,交出令,production order
交出令,交出令,交出令,production order
交替,交替控罪,交替控罪,alternative charge
